,Post_URL,Post_Title,Price,Location,Source
1295,https://www.ikea.com/sa/en/p/oddbjoerg-chair-pad-grey-00395209/,ODDBJÖRG,28.0,,ikea
1307,https://www.ikea.com/sa/en/p/herdis-chair-pad-black-20416593/,HERDIS,19.0,,ikea
1359,https://www.ikea.com/sa/en/p/justina-chair-pad-green-60304428/,JUSTINA,19.0,,ikea
1791,https://www.ikea.com/sa/en/p/trofast-shelf-white-90091454/,TROFAST,30.0,,ikea
1799,https://www.ikea.com/sa/en/p/trofast-storage-box-white-20089242/,TROFAST,25.0,,ikea
1801,https://www.ikea.com/sa/en/p/utter-childrens-stool-in-outdoor-white-50357785/,UTTER,25.0,,ikea
1849,https://www.ikea.com/sa/en/p/trofast-storage-box-pink-50466275/,TROFAST,15.0,,ikea
1862,https://www.ikea.com/sa/en/p/vaedra-cover-for-babycare-mat-10356127/,VÄDRA,30.0,,ikea
1864,https://www.ikea.com/sa/en/p/antilop-supporting-cushion-white-30449748/,ANTILOP,16.0,,ikea
1900,https://www.ikea.com/sa/en/p/trofast-storage-box-white-70091412/,TROFAST,5.0,,ikea
1912,https://www.ikea.com/sa/en/p/antilop-highchair-tray-white-40076093/,ANTILOP,25.0,,ikea
2351,https://www.ikea.com/sa/en/p/emten-bath-mat-dark-brown-50468694/,EMTEN,39.0,,ikea
2708,https://www.ikea.com/sa/en/p/lack-side-table-high-gloss-white-60193736/,LACK,39.0,,ikea
2718,https://www.ikea.com/sa/en/p/isberget-tablet-stand-white-20302596/,ISBERGET,10.0,,ikea
2815,https://www.ikea.com/sa/en/p/summera-drawer-insert-with-6-compartments-anthracite-20222458/,SUMMERA,45.0,,ikea
3240,https://www.ikea.com/sa/en/p/vesken-trolley-white-00471222/,VESKEN,39.0,,ikea
3348,https://www.ikea.com/sa/en/p/fixa-drill-template-orange-90323393/,FIXA,5.6,,ikea
3376,https://www.ikea.com/sa/en/p/moellarp-knob-black-10273090/,MÖLLARP,12.0,,ikea
3379,https://www.ikea.com/sa/en/p/eneryda-cup-handle-black-50347517/,ENERYDA,35.0,,ikea
3389,https://www.ikea.com/sa/en/p/besta-soft-closing-push-open-hinge-80261258/,BESTÅ,25.0,,ikea
3394,https://www.ikea.com/sa/en/p/eneryda-knob-brass-colour-20347509/,ENERYDA,17.0,,ikea
3430,https://www.ikea.com/sa/en/p/skaerhamn-knob-black-chrome-plated-70348785/,SKÄRHAMN,29.0,,ikea
